Date,Temperature
2022-11-21,7.1
2022-11-22,7.9
2022-11-23,11.7
2022-11-24,5.5
2022-11-25,9.5
2022-11-26,6.1
2022-11-27,11.4
2022-11-28,8.4
2022-11-29,10.9
2022-11-30,13.1
2022-12-01,7.8
2022-12-02,10.5
2022-12-03,10.7
2022-12-04,13.1
2022-12-05,9.3
2022-12-06,8.4
2022-12-07,14.2
2022-12-08,11.1
2022-12-09,13.4
2022-12-10,12.4
2022-12-11,13.5
2022-12-12,13.7
2022-12-13,11.1
2022-12-14,13.6
2022-12-15,12.9
2022-12-16,14.3
2022-12-17,13.2
2022-12-18,12.4
2022-12-19,11.4
2022-12-20,11.9
2022-12-21,14.9
2022-12-22,14.3
2022-12-23,14.4
2022-12-24,14.8
2022-12-25,13.0
2022-12-26,13.5
2022-12-27,14.6
2022-12-28,16.1
2022-12-29,14.4
2022-12-30,12.9
2022-12-31,12.3
